file_number,text,title,type
000001,"File: 000001 | Title: Hearing to consider release of reserved funds, Department of Children, Youth and Their families, (Fiscal Year 1999-2000 Budget), in the amount totaling $550,000, ($200,000 in Children’s Fund and $350,000 in General Funds), for the implementation of the School Based Health Pilot Program. | Name: Reserved Funds, Department of Children, Youth and Their Families | Type: Hearing | Status: Filed | Introduced: 2000-01-04 | Body: Finance and Labor Committee","Hearing to consider release of reserved funds, Department of Children, Youth and Their families, (Fiscal Year 1999-2000 Budget), in the amount totaling $550,000, ($200,000 in Children’s Fund and $350,000 in General Funds), for the implementation of the School Based Health Pilot Program.",Hearing
000060,"File: 000060 | Title: Hearing to consider the Independent auditors' management letters and comments related to the June 30, 1999 audit of the City. | Name: Independent auditors' management letters and comments | Type: Hearing | Status: Filed | Introduced: 2000-01-10 | Body: Audit and Government Efficiency Committee","Hearing to consider the Independent auditors' management letters and comments related to the June 30, 1999 audit of the City.",Hearing
000061,File: 000061 | Title: Hearing to consider the Post Occupancy Evaluation Report of the Main Branch of the San Francisco Public Library. | Name: San Francisco Public Library | Type: Hearing | Status: Filed | Introduced: 2000-01-10 | Body: Clerk of the Board,Hearing to consider the Post Occupancy Evaluation Report of the Main Branch of the San Francisco Public Library.,Hearing
000062,File: 000062 | Title: Motion concurring in the determination of the Mayor for the continued need for the declaration of emergency in connection with the needle exchange program. | Name: Needle Exchange Emergency | Type: Motion | Status: Passed | Introduced: 2000-01-10 | Body: Board of Supervisors,Motion concurring in the determination of the Mayor for the continued need for the declaration of emergency in connection with the needle exchange program.,Motion
000063,"File: 000063 | Title: Ordinance amending Administrative Code Section 10.136 to reduce the amount of money authorized to be in the City Attorney’s Cash Revolving Fund from $10,000 to $8,000. | Name: Reducing the City Attorney’s Cash Revolving Fund from $10,000 to $8,000, consistent with the recommendations of the Controller’s Audit Division | Type: Ordinance | Status: Passed | Introduced: 2000-01-18 | Body: Board of Supervisors","Ordinance amending Administrative Code Section 10.136 to reduce the amount of money authorized to be in the City Attorney’s Cash Revolving Fund from $10,000 to $8,000.",Ordinance
000064,"File: 000064 | Title: Ordinance repealing Administrative Code Section 10.136-1 to eliminate the Cash Revolving Fund of the Bureau of Claims of the Office of the City Attorney. | Name: Eliminating the Cash Revolving Fund of the Bureau of Claims of the City Attorney’s Office, consistent with the recommendations of the Controller’s Audit Division. | Type: Ordinance | Status: Passed | Introduced: 2000-01-18 | Body: Board of Supervisors",Ordinance repealing Administrative Code Section 10.136-1 to eliminate the Cash Revolving Fund of the Bureau of Claims of the Office of the City Attorney.,Ordinance
000065,"File: 000065 | Title: Ordinance appropriating $102,155 of State and Federal Revenue to fund salaries, fringe benefits, training, other current expenses, materials and supplies, and for the creation of five (5) positions to operate the new State-mandated Statewide Fingerprint Imaging System (SFIS) for the Department of Human Services for fiscal year 1999-2000. | Name: DHS appropriation request to hire five (5) new employees to fund data base of fingerprint and photo images of persons applying/receiving  benefits from CalWORKS and food stamp program to reduce fraud | Type: Ordinance | Status: Passed | Introduced: 2000-01-18 | Body: Board of Supervisors","Ordinance appropriating $102,155 of State and Federal Revenue to fund salaries, fringe benefits, training, other current expenses, materials and supplies, and for the creation of five (5) positions to operate the new State-mandated Statewide Fingerprint Imaging System (SFIS) for the Department of Human Services for fiscal year 1999-2000.",Ordinance
000066,"File: 000066 | Title: Ordinance amending Ordinance No. 209-99 (Annual Salary Ordinance, 1999/2000) reflecting the creation of five (5) positions for the Department of Human Services. | Name: Amending 1999-2000 Annual Salary Ordinance to create 5 new positions (4 Class 1426 Senior Clerk Typists and 1 Class 2912 Senior Social Worker)  for DHS. | Type: Ordinance | Status: Passed | Introduced: 2000-01-18 | Body: Board of Supervisors","Ordinance amending Ordinance No. 209-99 (Annual Salary Ordinance, 1999/2000) reflecting the creation of five (5) positions for the Department of Human Services.",Ordinance
000067,"File: 000067 | Title: Ordinance appropriating $55,126,710 of interest income and various Bond fund balances to capital improvement projects at the Airport Commission for fiscal year 1999-2000. | Name: Appropriation to be used for various capital improvements as approved in the Airport’s Master Plan including rail transit operating system and Five Year Capital Projects Plan | Type: Ordinance | Status: Passed | Introduced: 2000-01-18 | Body: Board of Supervisors","Ordinance appropriating $55,126,710 of interest income and various Bond fund balances to capital improvement projects at the Airport Commission for fiscal year 1999-2000.",Ordinance
000068,File: 000068 | Title: Ordinance amending Administrative Code by adding Section 10.117-90 establishing the Tobacco Settlement Revenue Account. | Name: Authorizing the creation of a new account in the City Treasury for the deposit of Tobacco Settlement Revenue | Type: Ordinance | Status: Passed | Introduced: 2000-01-18 | Body: Board of Supervisors,Ordinance amending Administrative Code by adding Section 10.117-90 establishing the Tobacco Settlement Revenue Account.,Ordinance
000069,File: 000069 | Title: Resolution authorizing withdrawal and acceptance of tobacco settlement monies pursuant to the Memorandum of Understanding. | Name: Authorizing the City to accept funds as a result of the settlement of litigation against various manufacturers of tobacco products | Type: Resolution | Status: Passed | Introduced: 2000-01-18 | Body: Board of Supervisors,Resolution authorizing withdrawal and acceptance of tobacco settlement monies pursuant to the Memorandum of Understanding.,Resolution
000070,"File: 000070 | Title: Resolution authorizing the Department of Public Health, Population Health and Prevention, Community Mental Health Services, to accept retroactively and expend a grant in the amount of $246,423 from the Department of Health and Human Services, SAMHSA, for the San Francisco Practice/Research Collaborative Project and to enter into an agreement which does not include patent infringement indemnification and false claims clauses; providing for ratification of action previously taken. | Name: New grant to be used by Public Health to develop a comprehensive evaluation plan for substance abuse prevention treatment services | Type: Resolution | Status: Passed | Introduced: 2000-01-18 | Body: Board of Supervisors","Resolution authorizing the Department of Public Health, Population Health and Prevention, Community Mental Health Services, to accept retroactively and expend a grant in the amount of $246,423 from the Department of Health and Human Services, SAMHSA, for the San Francisco Practice/Research Collaborative Project and to enter into an agreement which does not include patent infringement indemnification and false claims clauses; providing for ratification of action previously taken.",Resolution
